epoch,train_loss,bce_loss,rank_loss,val_auc,val_auprc,lr,train_sample_n,mp_sample_n
1,0.72407573,0.68213236,0.20971695,0.54197113,0.51177317,0.0010000000,300000,400000
2,0.68885362,0.64990246,0.19475579,0.60295543,0.56505224,0.0010000000,307563,411764
3,0.67357504,0.63730037,0.18137327,0.63013956,0.59477553,0.0010000000,315126,423529
4,0.67288291,0.63624203,0.18320443,0.64005781,0.61551430,0.0010000000,322689,435294
5,0.67340821,0.63677943,0.18314399,0.62994134,0.61344680,0.0010000000,330252,447058
6,0.67201966,0.63522863,0.18395512,0.64008443,0.62070243,0.0010000000,337815,458823
7,0.67177558,0.63523412,0.18270718,0.65081534,0.62953986,0.0010000000,345378,470588
8,0.67198008,0.63551569,0.18232204,0.66007998,0.64071858,0.0010000000,352941,482352
9,0.67114496,0.63481796,0.18163505,0.67009353,0.65047988,0.0010000000,360504,494117
10,0.67056310,0.63437951,0.18091811,0.67884735,0.65944065,0.0010000000,368067,505882
11,0.67044115,0.63453114,0.17955017,0.68141988,0.66177271,0.0010000000,375630,517647
12,0.67042220,0.63464630,0.17887962,0.68264487,0.66402787,0.0010000000,383193,529411
13,0.66967124,0.63420439,0.17733432,0.68908322,0.66929606,0.0010000000,390756,541176
14,0.66879934,0.63398212,0.17408596,0.68867427,0.66929756,0.0010000000,398319,552941
15,0.66865093,0.63445532,0.17097788,0.68880748,0.67002921,0.0010000000,405882,564705
16,0.66766465,0.63405901,0.16802813,0.69099692,0.67314244,0.0010000000,413445,576470
17,0.66650361,0.63360655,0.16448523,0.69160330,0.67440090,0.0010000000,421008,588235
18,0.66591239,0.63379300,0.16059704,0.69213184,0.67466205,0.0010000000,428571,600000
19,0.66456115,0.63345957,0.15550779,0.69152580,0.67451777,0.0010000000,436134,611764
20,0.66334146,0.63329369,0.15023880,0.69288523,0.67606927,0.0010000000,443697,623529
21,0.66229814,0.63315219,0.14572981,0.69486054,0.67761542,0.0010000000,451260,635294
22,0.66112876,0.63271636,0.14206189,0.69739337,0.68021450,0.0010000000,458823,647058
23,0.66008854,0.63235557,0.13866499,0.70033580,0.68244269,0.0010000000,466386,658823
24,0.65917623,0.63186741,0.13654406,0.70357506,0.68407078,0.0010000000,473949,670588
25,0.65819705,0.63123244,0.13482293,0.70834650,0.68780737,0.0010000000,481512,682352
26,0.65735149,0.63066649,0.13342488,0.71282231,0.69134504,0.0010000000,489075,694117
27,0.65639192,0.63002467,0.13183621,0.71797796,0.69613702,0.0010000000,496638,705882
28,0.65492380,0.62906700,0.12928408,0.72268511,0.69846656,0.0010000000,504201,717647
29,0.65410852,0.62838244,0.12863050,0.72614560,0.70071135,0.0010000000,511764,729411
30,0.65316170,0.62765753,0.12752087,0.72877024,0.70369170,0.0010000000,519327,741176
31,0.65202272,0.62681150,0.12605616,0.73226840,0.70727676,0.0010000000,526890,752941
32,0.65108025,0.62592435,0.12577945,0.73428556,0.70933805,0.0010000000,534453,764705
33,0.65036160,0.62519842,0.12581591,0.73785463,0.71283993,0.0010000000,542016,776470
34,0.64900714,0.62399405,0.12506557,0.74109184,0.71738864,0.0010000000,549579,788235
35,0.64823312,0.62315840,0.12537362,0.74350525,0.71972079,0.0010000000,557142,800000
36,0.64733064,0.62226498,0.12532817,0.74516979,0.72150178,0.0010000000,564705,811764
37,0.64616787,0.62124205,0.12462915,0.74812743,0.72517662,0.0010000000,572268,823529
38,0.64539319,0.62047768,0.12457757,0.75080362,0.72795429,0.0010000000,579831,835294
39,0.64436215,0.61953771,0.12412231,0.75360840,0.73074337,0.0010000000,587394,847058
40,0.64366966,0.61890286,0.12383408,0.75617142,0.73316183,0.0010000000,594957,858823
41,0.64271426,0.61812323,0.12295500,0.75773050,0.73456656,0.0010000000,602521,870588
